id;account;password;name;loginCount;lastLoginTime;lastLoginDevice;createTime;roles
1;1;1;;1;0;andriod;0;[1]
2;2;1;;1;0;ipad mini;0;[1]
3;3;1;;1;0;Ipad 2;0;[1]
4;4;1;;1;0;Iphone 5;0;[1]
5;newAccount;1;newAccount;1;0;Iphone 5;0;
100;arthur;1;Arthur;0;0;ipad mini;0;[1]
101;user4;1;user4;0;0;ipand;1;[1]
102;mike;1;Mike;0;0;Ipad 2;0;[1]
103;papa;1;Papa;0;0;ipad;0;[1]
104;user3;1;user3;0;0;ipad;0;[1]
105;user2;1;user2;0;0;ipad;0;[1]
106;poorman;1;poorman;0;0;ipand;0;[1]
107;user1;1;user1;0;0;ipad;0;[1]
108;user5;1;user5;0;0;iapd;0;[1]
110;passer;1;passer;1;0;ipad;0;[1]
111;poorVip;1;poorVip;1;0;ipad;0;[1]
112;112;1;buyMoney;1;0;ipad;0;[1]
113;113;1;buyPower;1;0;ipad;0;[1]
114;114;1;buyChallengeCount;1;0;ipad;0;[1]
115;115;1;115;1;0;Iphone 5;0;[1]
